,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.2958,0.0,0.0,"x, 0, 0",18 f,2
1,E2,0.2748,0.1374,0.0432,"2y, y, z",18 h,m
2,E3,0.2573,0.0194,0.9617,"x, y, z",36 i,1
3,E4,0.3064,0.0657,0.2007,"x, y, z",36 i,1
4,E5,0.3333,0.1667,0.1667,"1/3, 1/6, 1/6",9 d,2/m
5,E6,0.9739,0.2498,0.1152,"x, y, z",36 i,1
6,E7,0.2822,0.0371,0.0019,"x, y, z",36 i,1
7,E8,0.2946,0.0859,0.1736,"x, y, z",36 i,1
8,E9,0.3001,0.15,0.1953,"2y, y, z",18 h,m
9,E10,0.2922,0.13,0.0836,"x, y, z",36 i,1
10,E11,0.2315,0.0,0.0,"x, 0, 0",18 f,2
11,E12,0.2624,0.0712,0.0225,"x, y, z",36 i,1
12,E13,0.0194,0.2894,0.0382,"x, y, z",36 i,1
13,E14,0.3286,0.062,0.0429,"x, y, z",36 i,1
14,E15,0.2564,0.0177,0.0401,"x, y, z",36 i,1
15,E16,0.9823,0.2709,0.0401,"x, y, z",36 i,1
16,E17,0.3548,0.1191,0.111,"x, y, z",36 i,1
