,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.1733,0.2932,0.4009,"x, y, z",8 f,1
1,E2,0.3236,0.3173,0.5415,"x, y, z",8 f,1
2,E3,0.2926,0.2867,0.4312,"x, y, z",8 f,1
3,E4,0.2043,0.3238,0.5112,"x, y, z",8 f,1
4,E5,0.1786,0.4309,0.3958,"x, y, z",8 f,1
5,E6,0.0,0.2259,0.25,"0, y, 1/4",4 d,2
6,E7,0.219,0.2194,0.3898,"x, y, z",8 f,1
7,E8,0.1307,0.2565,0.4697,"x, y, z",8 f,1
8,E9,0.3918,0.1653,0.37,"x, y, z",8 f,1
9,E10,0.5,0.0013,0.25,"1/2, y, 1/4",4 e,2
10,E11,0.4174,0.0595,0.2354,"x, y, z",8 f,1
11,E12,0.4722,0.0595,0.1654,"x, y, z",8 f,1
12,E13,0.5,0.1178,0.25,"1/2, y, 1/4",4 e,2
