,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0001,0.4222,0.75,"x, y, z",16 l,1
1,E2,0.922,0.578,0.0,"x, 1/2-x, 0",4 g,mm2
2,E3,0.0777,0.5777,0.0,"x, 1/2+x, 0",4 g,mm2
3,E4,0.9631,0.723,0.25,"x, y, z",16 l,1
4,E5,0.0354,0.7579,0.0,"x, y, 0",8 i,m
5,E6,0.8923,0.6854,0.0,"x, y, 0",8 i,m
6,E7,0.0012,0.1747,0.75,"x, y, z",16 l,1
7,E8,0.1067,0.1403,0.75,"x, y, z",16 l,1
8,E9,0.1443,0.2472,0.75,"x, y, z",16 l,1
9,E10,0.8945,0.0344,0.0,"x, y, 0",8 i,m
10,E11,0.822,0.1775,0.0,"x, y, 0",8 i,m
