,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.2537,0.6268,0.1793,"x, 2x, z",12 o,m
1,E2,0.2935,0.587,0.1793,"x, 2x, z",12 o,m
2,E3,0.2537,0.587,0.0,"x, y, 0",12 n,m
3,E4,0.2114,0.5659,0.25,"x, y, z",24 r,1
4,E5,0.0846,0.5423,0.1793,"2y, y, z",12 o,m
5,E6,0.0846,0.5024,0.0,"x, y, 0",12 p,m
6,E7,0.1269,0.5236,0.25,"x, y, z",24 r,1
7,E8,0.0423,0.4813,0.25,"x, y, z",24 r,1
8,E9,0.1691,0.5845,0.3207,"2y, y, z",12 o,m
9,E10,0.1691,0.5447,0.5,"x, y, 0",12 p,m
10,E11,0.0,0.5,0.3207,"0, 1/2, z",6 i,mm2
11,E12,0.0,0.4602,0.5,"0, y, 1/2",6 k,mm2
