,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,4,0.0676,0.0676,0.0676,"x, x, x",16 f,3,3
1,V2,4,0.0,0.1139,0.0428,"0, y, z",24 g,m,2
2,V3,4,0.117,0.117,0.117,"x, x, x",16 f,3,3
3,V4,4,0.0,0.1945,0.0718,"0, y, z",24 g,m,2
4,V5,4,0.2412,0.0,0.0,"x, 0, 0",12 d,mm2,4
5,V6,4,0.1901,0.1173,0.0724,"x, y, z",48 h,1,1
6,V7,4,0.0,0.0781,0.2762,"0, y, z",24 g,m,2
7,V8,4,0.1868,0.1975,0.0428,"x, y, z",48 h,1,1
8,V9,4,0.1184,0.2427,0.0677,"x, y, z",48 h,1,1
9,V10,4,0.0,0.0699,0.3614,"0, y, z",24 g,m,2
10,V11,4,0.2575,0.237,0.0706,"x, y, z",48 h,1,1
11,V12,4,0.1408,0.3106,0.1149,"x, y, z",48 h,1,1
12,V13,4,0.4109,0.0,0.0,"x, 0, 0",12 d,mm2,4
13,V14,4,0.3165,0.1973,0.1182,"x, y, z",48 h,1,1
14,V15,4,0.0,0.2965,0.2657,"0, y, z",24 g,m,2
15,V16,4,0.1166,0.3791,0.0696,"x, y, z",48 h,1,1
16,V17,4,0.2262,0.3068,0.1092,"x, y, z",48 h,1,1
17,V18,4,0.0,0.4572,0.072,"0, y, z",24 g,m,2
18,V19,4,0.3887,0.192,0.0724,"x, y, z",48 h,1,1
19,V20,4,0.3113,0.242,0.191,"x, y, z",48 h,1,1
20,V21,4,0.0,0.3768,0.2361,"0, y, z",24 g,m,2
21,V22,4,0.4304,0.1174,0.0675,"x, y, z",48 h,1,1
22,V23,4,0.0,0.2921,0.3512,"0, y, z",24 g,m,2
23,V24,4,0.1841,0.4245,0.0428,"x, y, z",48 h,1,1
24,V25,4,0.2511,0.3787,0.07,"x, y, z",48 h,1,1
25,V26,4,0.0,0.3712,0.384,"0, y, z",24 g,m,2
26,V27,4,0.0,0.4171,0.3116,"0, y, z",24 g,m,2
