,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,4,12,24,36,55,85,117,156,204,252,946,5.5.5.5.5.5
1,V2,4,12,24,36,55,85,117,159,202,248,943,5.5.5.5.5.5
2,V3,4,12,24,39,69,91,121,165,219,268,1013,5.5.5.5.5.5
3,V4,4,12,24,39,69,91,124,166,207,269,1006,5.5.5.5.5.5
4,V5,4,12,25,44,64,99,136,169,211,272,1037,5.5.5.5.5.6
5,V6,4,12,25,44,64,96,132,171,218,271,1038,5.5.5.5.5.6
6,V7,4,12,25,42,72,103,131,173,225,270,1058,5.5.5.5.5.6
7,V8,4,12,25,42,70,98,128,176,222,269,1047,5.5.5.5.5.6
8,V9,4,12,25,42,70,100,131,172,223,277,1057,5.5.5.5.5.6
9,V10,4,12,25,46,69,103,139,181,217,273,1070,5.5.5.5.5.6
10,V11,4,12,25,44,64,98,140,178,219,277,1062,5.5.5.5.5.6
11,V12,4,12,25,44,66,102,137,175,225,280,1071,5.5.5.5.5.6
12,V13,4,12,26,46,76,103,142,178,222,292,1102,5.5.5.5.6.6
13,V14,4,12,25,42,71,95,133,183,223,280,1069,5.5.5.5.5.6
14,V15,4,12,24,39,71,97,131,176,222,277,1054,5.5.5.5.5.5
15,V16,4,12,24,41,74,99,131,177,224,277,1064,5.5.5.5.5.5
16,V17,4,12,24,39,70,102,129,172,230,281,1064,5.5.5.5.5.5
17,V18,4,12,26,46,74,105,135,178,236,290,1107,5.5.5.5.6.6
18,V19,4,12,25,42,68,97,132,181,234,276,1072,5.5.5.5.5.6
19,V20,4,12,25,43,67,98,134,179,230,280,1073,5.5.5.5.5.6
20,V21,4,12,25,43,64,96,134,181,230,275,1065,5.5.5.5.5.6
21,V22,4,12,25,45,68,99,136,179,229,284,1082,5.5.5.5.5.6
22,V23,4,12,24,39,62,101,136,173,222,277,1051,5.5.5.5.5.5
23,V24,4,12,25,41,63,97,137,181,220,272,1053,5.5.5.5.5.6
24,V25,4,12,24,38,64,100,133,173,222,279,1050,5.5.5.5.5.5
25,V26,4,12,24,40,70,96,131,180,227,277,1062,5.5.5.5.5.5
26,V27,4,12,25,41,65,95,134,183,227,270,1057,5.5.5.5.5.6
