,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0338,0.0907,0.0552,"x, y, z",48 h,1
1,E2,0.0923,0.0923,0.0923,"x, x, x",16 f,3
2,E3,0.0,0.1139,0.0,"0, y, 0",12 d,mm2
3,E4,0.0,0.1542,0.0573,"0, y, z",24 g,m
4,E5,0.1535,0.1172,0.0947,"x, y, z",48 h,1
5,E6,0.0,0.2178,0.0359,"0, y, z",24 g,m
6,E7,0.0362,0.1923,0.0946,"x, y, z",48 h,1
7,E8,0.2587,0.0,0.039,"x, 0, z",24 g,m
8,E9,0.1885,0.1574,0.0576,"x, y, z",48 h,1
9,E10,0.2164,0.0925,0.0954,"x, y, z",48 h,1
10,E11,0.0338,0.0983,0.2595,"x, y, z",48 h,1
11,E12,0.0,0.074,0.3188,"0, y, z",24 g,m
12,E13,0.1868,0.1975,0.0,"x, y, 0",24 g,m
13,E14,0.1526,0.2201,0.0552,"x, y, z",48 h,1
14,E15,0.2221,0.2172,0.0567,"x, y, z",48 h,1
15,E16,0.1296,0.2767,0.0913,"x, y, z",48 h,1
16,E17,0.0,0.0349,0.3862,"0, y, z",24 g,m
17,E18,0.0348,0.0933,0.3703,"x, y, z",48 h,1
18,E19,0.287,0.2171,0.0944,"x, y, z",48 h,1
19,E20,0.277,0.2514,0.0353,"x, y, z",48 h,1
20,E21,0.2419,0.2719,0.0899,"x, y, z",48 h,1
21,E22,0.1295,0.3135,0.1561,"x, y, z",48 h,1
22,E23,0.1287,0.3449,0.0923,"x, y, z",48 h,1
23,E24,0.1835,0.3087,0.112,"x, y, z",48 h,1
24,E25,0.4341,0.964,0.0,"x, y, 0",24 g,m
25,E26,0.3526,0.1946,0.0953,"x, y, z",48 h,1
26,E27,0.3139,0.2197,0.1546,"x, y, z",48 h,1
27,E28,0.0,0.3367,0.2509,"0, y, z",24 g,m
28,E29,0.0,0.2943,0.3085,"0, y, z",24 g,m
29,E30,0.0921,0.4047,0.0935,"x, y, z",48 h,1
30,E31,0.1503,0.4018,0.0562,"x, y, z",48 h,1
31,E32,0.2421,0.3079,0.1489,"x, y, z",48 h,1
32,E33,0.2387,0.3428,0.0896,"x, y, z",48 h,1
33,E34,0.0,0.5,0.072,"0, 1/2, z",12 e,mm2
34,E35,0.0338,0.4438,0.0947,"x, y, z",48 h,1
35,E36,0.3828,0.214,0.0362,"x, y, z",48 h,1
36,E37,0.4095,0.1547,0.07,"x, y, z",48 h,1
37,E38,0.4094,0.2204,0.0968,"x, y, z",48 h,1
38,E39,0.3102,0.2153,0.2245,"x, y, z",48 h,1
39,E40,0.0,0.3969,0.2738,"0, y, z",24 g,m
40,E41,0.4652,0.1231,0.0917,"x, y, z",48 h,1
41,E42,0.035,0.2716,0.365,"x, y, z",48 h,1
42,E43,0.0,0.3317,0.3676,"0, y, z",24 g,m
43,E44,0.1841,0.4245,0.0,"x, y, 0",24 g,m
44,E45,0.2176,0.4016,0.0564,"x, y, z",48 h,1
45,E46,0.1863,0.4622,0.0629,"x, y, z",48 h,1
46,E47,0.0,0.3941,0.3478,"0, y, z",24 g,m
