,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,4,0.0683,0.0683,0.0683,"x, x, x",16 i,3,3
1,V2,4,0.0,0.1144,0.0431,"0, y, z",24 k,m,2
2,V3,4,0.1181,0.1181,0.1181,"x, x, x",16 i,3,3
3,V4,4,0.0,0.1955,0.0724,"0, y, z",24 k,m,2
4,V5,4,0.2423,0.0,0.0,"x, 0, 0",12 f,mm2,4
5,V6,4,0.191,0.1194,0.0721,"x, y, z",48 l,1,1
6,V7,4,0.0,0.0782,0.2785,"0, y, z",24 k,m,2
7,V8,4,0.1861,0.2004,0.0431,"x, y, z",48 l,1,1
8,V9,4,0.117,0.2449,0.0692,"x, y, z",48 l,1,1
9,V10,4,0.0,0.0649,0.3637,"0, y, z",24 k,m,2
10,V11,4,0.2557,0.2426,0.0712,"x, y, z",48 l,1,1
11,V12,4,0.132,0.3118,0.1214,"x, y, z",48 l,1,1
12,V13,4,0.4204,0.0,0.0,"x, 0, 0",12 f,mm2,4
13,V14,4,0.3218,0.2045,0.1114,"x, y, z",48 l,1,1
14,V15,4,0.0,0.2919,0.2751,"0, y, z",24 k,m,2
15,V16,4,0.0995,0.3785,0.0775,"x, y, z",48 l,1,1
16,V17,4,0.2178,0.3062,0.1153,"x, y, z",48 l,1,1
17,V18,4,0.0,0.4569,0.0781,"0, y, z",24 k,m,2
18,V19,4,0.3968,0.2139,0.07,"x, y, z",48 l,1,1
19,V20,4,0.3157,0.75,0.1843,"x, 3/4, 1/2-x",24 j,2,2
20,V21,4,0.1953,0.25,0.3047,"x, 1/4, 1/2-x",24 j,2,2
21,V22,4,0.0,0.3767,0.26,"0, y, z",24 k,m,2
22,V23,4,0.4286,0.1346,0.0587,"x, y, z",48 l,1,1
23,V24,4,0.0,0.2741,0.3594,"0, y, z",24 k,m,2
24,V25,4,0.1613,0.4277,0.0431,"x, y, z",48 l,1,1
25,V26,4,0.2271,0.3787,0.0697,"x, y, z",48 l,1,1
26,V27,4,0.0,0.3437,0.4102,"0, y, z",24 k,m,2
27,V28,4,0.0,0.3983,0.3435,"0, y, z",24 k,m,2
