,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,4,12,24,36,55,85,117,156,204,252,946,5.5.5.5.5.5
1,V2,4,12,24,36,55,85,117,159,202,250,945,5.5.5.5.5.5
2,V3,4,12,24,39,69,91,121,165,219,271,1016,5.5.5.5.5.5
3,V4,4,12,24,39,69,91,124,166,209,265,1004,5.5.5.5.5.5
4,V5,4,12,25,44,64,99,136,169,211,272,1037,5.5.5.5.5.6
5,V6,4,12,25,44,64,96,132,172,216,272,1038,5.5.5.5.5.6
6,V7,4,12,25,42,72,103,131,175,226,276,1067,5.5.5.5.5.6
7,V8,4,12,25,42,70,98,128,176,225,274,1055,5.5.5.5.5.6
8,V9,4,12,25,42,70,100,131,174,225,281,1065,5.5.5.5.5.6
9,V10,4,12,25,46,69,103,141,181,222,284,1088,5.5.5.5.5.6
10,V11,4,12,25,44,64,98,140,178,219,277,1062,5.5.5.5.5.6
11,V12,4,12,25,44,66,102,137,175,226,282,1074,5.5.5.5.5.6
12,V13,4,12,26,46,76,107,142,186,240,296,1136,5.5.5.5.6.6
13,V14,4,12,25,42,70,100,134,182,230,282,1082,5.5.5.5.5.6
14,V15,4,12,24,39,71,97,131,176,222,278,1055,5.5.5.5.5.5
15,V16,4,12,24,41,74,98,132,179,226,283,1074,5.5.5.5.5.5
16,V17,4,12,24,39,71,97,128,173,224,283,1056,5.5.5.5.5.5
17,V18,4,12,26,46,76,107,143,187,243,296,1141,5.5.5.5.6.6
18,V19,4,12,25,42,72,105,138,184,238,285,1106,5.5.5.5.5.6
19,V20,4,12,25,42,70,98,130,182,233,282,1079,5.5.5.5.5.6
20,V21,4,12,25,44,64,98,138,176,227,282,1071,5.5.5.5.5.6
21,V22,4,12,25,44,66,105,143,180,228,284,1092,5.5.5.5.5.6
22,V23,4,12,25,46,69,103,143,189,227,282,1101,5.5.5.5.5.6
23,V24,4,12,24,38,60,92,127,174,225,274,1031,5.5.5.5.5.5
24,V25,4,12,25,40,61,93,130,176,226,280,1048,5.5.5.5.5.6
25,V26,4,12,24,38,60,92,127,171,223,275,1027,5.5.5.5.5.5
26,V27,4,12,25,40,61,93,130,179,229,276,1050,5.5.5.5.5.6
27,V28,4,12,24,41,74,98,135,183,228,281,1081,5.5.5.5.5.5
