,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0342,0.0913,0.0557,"x, y, z",48 l,1
1,E2,0.0932,0.0932,0.0932,"x, x, x",16 i,3
2,E3,0.0,0.1144,0.0,"0, y, 0",12 f,mm2
3,E4,0.0,0.1549,0.0578,"0, y, z",24 k,m
4,E5,0.1545,0.1188,0.0951,"x, y, z",48 l,1
5,E6,0.0,0.2189,0.0362,"0, y, z",24 k,m
6,E7,0.036,0.1933,0.0959,"x, y, z",48 l,1
7,E8,0.2604,0.0,0.0391,"x, 0, z",24 k,m
8,E9,0.1885,0.1599,0.0576,"x, y, z",48 l,1
9,E10,0.2179,0.0943,0.0946,"x, y, z",48 l,1
10,E11,0.0346,0.0976,0.2617,"x, y, z",48 l,1
11,E12,0.0,0.0715,0.3211,"0, y, z",24 k,m
12,E13,0.1861,0.2004,0.0,"x, y, 0",24 k,m
13,E14,0.1516,0.2226,0.0562,"x, y, z",48 l,1
14,E15,0.2209,0.2215,0.0571,"x, y, z",48 l,1
15,E16,0.1245,0.2783,0.0953,"x, y, z",48 l,1
16,E17,0.0,0.0325,0.392,"0, y, z",24 k,m
17,E18,0.0388,0.0822,0.3711,"x, y, z",48 l,1
18,E19,0.2887,0.2235,0.0913,"x, y, z",48 l,1
19,E20,0.2738,0.2588,0.0356,"x, y, z",48 l,1
20,E21,0.2367,0.2744,0.0932,"x, y, z",48 l,1
21,E22,0.1217,0.3168,0.1629,"x, y, z",48 l,1
22,E23,0.1157,0.3451,0.0995,"x, y, z",48 l,1
23,E24,0.1749,0.309,0.1183,"x, y, z",48 l,1
24,E25,0.4387,0.961,0.0,"x, y, 0",24 k,m
25,E26,0.3593,0.2092,0.0907,"x, y, z",48 l,1
26,E27,0.3188,0.2273,0.1478,"x, y, z",48 l,1
27,E28,0.0,0.3343,0.2675,"0, y, z",24 k,m
28,E29,0.0,0.283,0.3173,"0, y, z",24 k,m
29,E30,0.0791,0.4036,0.106,"x, y, z",48 l,1
30,E31,0.1304,0.4031,0.0603,"x, y, z",48 l,1
31,E32,0.2339,0.3054,0.1553,"x, y, z",48 l,1
32,E33,0.2224,0.3425,0.0925,"x, y, z",48 l,1
33,E34,0.0,0.5,0.0781,"0, 1/2, z",12 h,mm2
34,E35,0.0294,0.4428,0.1063,"x, y, z",48 l,1
35,E36,0.4134,0.25,0.0866,"x, 1/4, 1/2-x",24 j,2
36,E37,0.3867,0.2369,0.035,"x, y, z",48 l,1
37,E38,0.4127,0.1742,0.0644,"x, y, z",48 l,1
38,E39,0.2828,0.7227,0.1898,"x, y, z",48 l,1
39,E40,0.0,0.3875,0.3017,"0, y, z",24 k,m
40,E41,0.4643,0.1456,0.0802,"x, y, z",48 l,1
41,E42,0.0349,0.2506,0.3691,"x, y, z",48 l,1
42,E43,0.0,0.3089,0.3848,"0, y, z",24 k,m
43,E44,0.1613,0.4277,0.0,"x, y, 0",24 k,m
44,E45,0.1942,0.4032,0.0564,"x, y, z",48 l,1
45,E46,0.1588,0.4639,0.0664,"x, y, z",48 l,1
46,E47,0.25,0.4045,0.0955,"1/4, y, 1/2-y",24 j,2
47,E48,0.0,0.371,0.3768,"0, y, z",24 k,m
