,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.2737,0.3333,0.0833,"x, 1/3, 1/12",18 e,2
1,E2,0.2899,0.2913,0.0879,"x, y, z",36 f,1
2,E3,0.3153,0.3421,0.1051,"x, y, z",36 f,1
3,E4,0.216,0.2951,0.1307,"x, y, z",36 f,1
4,E5,0.0,0.3186,0.25,"0, y, 1/4",18 e,2
5,E6,0.0769,0.3226,0.2133,"x, y, z",36 f,1
6,E7,0.1389,0.2957,0.1728,"x, y, z",36 f,1
7,E8,0.1294,0.2407,0.165,"x, y, z",36 f,1
8,E9,0.0934,0.2462,0.186,"x, y, z",36 f,1
9,E10,0.0575,0.1305,0.1784,"x, y, z",36 f,1
10,E11,0.9806,0.0156,0.1785,"x, y, z",36 f,1
