,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.2277,0.2827,0.2147,"x, y, z",16 o,1
1,E2,0.2278,0.2322,0.2991,"x, y, z",16 o,1
2,E3,0.1656,0.2782,0.277,"x, y, z",16 o,1
3,E4,0.2505,0.3304,0.1145,"x, y, z",16 o,1
4,E5,0.1102,0.3295,0.3259,"x, y, z",16 o,1
5,E6,0.084,0.2972,0.2963,"x, y, z",16 o,1
6,E7,0.2512,0.3603,0.0,"x, y, 0",8 n,m
7,E8,0.2516,0.4046,0.0316,"x, y, z",16 o,1
8,E9,0.5,0.0,0.0,"1/2, 0, 0",2 b,mmm
9,E10,0.4279,0.0256,0.0316,"x, y, z",16 o,1
10,E11,0.398,0.0511,0.0,"x, y, 0",8 n,m
11,E12,0.398,0.0,0.0632,"x, 0,z",8 m,m
12,E13,0.4017,0.0919,0.1009,"x, y, z",16 o,1
13,E14,0.4316,0.165,0.1682,"x, y, z",16 o,1
14,E15,0.0,0.3028,0.3023,"0, y, z",8 l,m
15,E16,0.252,0.5,0.0,"x, 0, 0",4 e,mm2
