,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0,0.0,0.5,"0, 0, 1/2",2 b,4/mmm
1,E2,0.0461,0.0461,0.3574,"x, x, z",16 m,m
2,E3,0.2017,0.0,0.2039,"x, 0, z",16 n,m
3,E4,0.2588,0.0847,0.2564,"x, y, z",32 o,1
4,E5,0.147,0.0797,0.2671,"x, y, z",32 o,1
5,E6,0.2118,0.097,0.1019,"x, y, z",32 o,1
6,E7,0.3568,0.1432,0.25,"x, 1/2-x, 1/4",16 k,2
7,E8,0.3624,0.197,0.0956,"x, y, z",32 o,1
8,E9,0.4489,0.1466,0.1533,"x, y, z",32 o,1
9,E10,0.8756,0.8756,0.5849,"x, x, z",16 m,m
10,E11,0.7767,0.8352,0.5,"x, y, 1/2",16 l,m
11,E12,0.8257,0.8257,0.0,"x, x, 0",8 h,mm2
12,E13,0.8316,0.7256,0.0,"x, y, 0",16 l,m
13,E14,0.3909,0.0,0.5,"x, 0, 1/2",8 j,mm2
14,E15,0.4455,0.0,0.6827,"x, 0, z",16 n,m
