,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.187,0.2166,0.2439,"x, y, z",48 e,1
1,E2,0.126,0.2126,0.2102,"x, y, z",48 e,1
2,E3,0.1556,0.2399,0.1532,"x, y, z",48 e,1
3,E4,0.1567,0.3427,0.2233,"x, y, z",48 e,1
4,E5,0.1493,0.1219,0.1789,"x, y, z",48 e,1
5,E6,0.0384,0.11,0.2213,"x, y, z",48 e,1
6,E7,0.0156,0.5,0.25,"x, 0, 1/4",24 d,2
7,E8,0.0846,0.4217,0.2344,"x, y, z",48 e,1
8,E9,0.056,0.4746,0.1991,"x, y, z",48 e,1
9,E10,0.056,0.457,0.2873,"x, y, z",48 e,1
10,E11,0.125,0.4647,0.1971,"x, y, z",48 e,1
