,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.1625,0.1625,0.5,"x, x, 1/2",12 j,mm2
1,E2,0.1884,0.1884,0.4789,"x, x, z",24 m,m
2,E3,0.1547,0.1547,0.4169,"x, x, z",24 m,m
3,E4,0.2442,0.2442,0.5,"x, x, 1/2",12 j,mm2
4,E5,0.285,0.3149,0.5,"x, y, 1/2",24 l,m
5,E6,0.3258,0.3258,0.5,"x, x, 1/2",12 i,mm2
6,E7,0.2961,0.398,0.5,"x, y, 1/2",24 l,m
7,E8,0.1246,0.1545,0.3411,"x, y, z",48 n,1
8,E9,0.1323,0.1323,0.3059,"x, x, z",24 m,m
9,E10,0.0724,0.1832,0.2849,"x, y, z",48 n,1
10,E11,0.0,0.2042,0.264,"0, y, z",24 k,m
11,E12,0.0423,0.2341,0.2341,"x, y, y",24 m,m
12,E13,0.2962,0.4701,0.4701,"x, y, y",24 m,m
