,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.2272,0.2369,0.1989,"x, y, z",16 o,1
1,E2,0.2728,0.2151,0.2177,"x, y, z",16 o,1
2,E3,0.25,0.1719,0.1149,"x, y, z",16 o,1
3,E4,0.1659,0.2897,0.2156,"x, y, z",16 o,1
4,E5,0.1063,0.3431,0.1663,"x, y, z",16 o,1
5,E6,0.085,0.3082,0.2007,"x, y, z",16 o,1
6,E7,0.0425,0.4481,0.0,"x, y, 0",8 n,m
7,E8,0.0,0.4481,0.0633,"0, y, z",8 l,m
8,E9,0.0425,0.5,0.0633,"x, 1/2, z",8 m,m
9,E10,0.0639,0.4134,0.0979,"x, y, z",16 o,1
10,E11,0.25,0.1418,0.0,"x, y, 0",8 n,m
11,E12,0.2502,0.0968,0.0316,"x, y, z",16 o,1
12,E13,0.0639,0.3437,0.1669,"x, y, z",16 o,1
13,E14,0.0,0.3089,0.2013,"0, y, z",8 l,m
14,E15,0.2505,0.0,0.0,"x, 0, 0",4 e,mm2
