,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.2773,0.9579,0.0001,"x, y, z",36 f,1
1,E2,0.1756,0.3022,0.1171,"x, y, z",36 f,1
2,E3,0.0142,0.3054,0.1667,"x, y, z",36 f,1
3,E4,0.3371,0.0691,0.1313,"x, y, z",36 f,1
4,E5,0.2865,0.0433,0.9654,"x, y, z",36 f,1
5,E6,0.3053,0.014,0.0835,"x, y, z",36 f,1
6,E7,0.0702,0.3333,0.0833,"x, 1/3, 1/12",18 e,2
7,E8,0.2634,0.9719,0.0833,"x, y, z",36 e,1
8,E9,0.3192,0.0,0.25,"x, 0, 1/4",18 e,2
9,E10,0.3494,0.1508,0.047,"x, y, z",36 e,1
10,E11,0.0421,0.3193,0.2499,"x, y, z",36 f,1
11,E12,0.2914,0.986,0.9168,"x, y, z",36 f,1
12,E13,0.3472,0.0139,0.0833,"x, x-1/3, 1/12",18 e,2
13,E14,0.3194,0.0,0.0,"x, y, z",36 f,2
14,E15,0.216,0.3106,0.1659,"x, y, z",36 f,1
15,E16,0.0992,0.3071,0.1657,"x, y, z",36 f,1
