,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,3,6,13,19,32,42,66,79,111,127,499,3.10(2).10(2)
1,V2,3,6,13,23,34,41,60,85,107,130,503,3.10(2).12(2)
2,V3,3,6,13,19,34,46,62,79,93,124,480,3.10(2).12(2)
3,V4,3,6,13,23,34,41,60,82,104,128,495,3.10(2).12(2)
4,V5,3,6,13,23,32,37,60,71,116,125,487,3.10(2).10(2)
5,V6,5,7,15,22,37,45,67,88,110,128,525,3.3.3.3.4.4.10.10.12.12
6,V7,5,9,16,17,32,42,75,88,113,136,534,3.3.3.3.4.4.6.6.10.10
7,V8,5,7,15,22,37,45,67,91,108,134,532,3.3.3.3.4.4.10.10.12.12
8,V9,5,9,16,17,32,42,71,85,113,125,516,3.3.3.3.4.4.6.6.10.10
9,V10,5,7,15,22,35,35,56,86,114,146,522,3.3.3.3.4.4.10.10.10.10
10,V11,5,9,16,17,32,38,62,88,122,127,517,3.3.3.3.4.4.6.6.10.10
11,V12,5,7,11,18,42,52,69,79,102,110,496,3.3.3.3.4.4.10.10.12.12
12,V13,5,7,11,18,40,46,71,82,107,128,516,3.3.3.3.4.4.10.10.10.10
