,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.4782,0.0336,0.0495,"x, y, z",12 d,1
1,E2,0.5812,0.1623,0.1037,"x, 2x, z",6 c,m
2,E3,0.0262,0.5131,0.0247,"2y, y, z",6 c,m
3,E4,0.0557,0.3801,0.0124,"x, y, z",12 d,1
4,E5,0.3676,0.1838,0.2984,"2y, y, z",6 c,m
5,E6,0.3305,0.1652,0.2571,"2y, y, z",6 c,m
6,E7,0.4916,0.2458,0.2342,"2y, y, z",6 c,m
7,E8,0.2794,0.1397,0.2946,"2y, y, z",6 c,m
8,E9,0.2952,0.1477,0.3808,"2y, y, z",6 c,m
9,E10,0.172,0.086,0.2253,"2y, y, z",6 c,m
10,E11,0.1622,0.3243,0.0,"x, 2x, z",6 c,m
11,E12,0.043,0.2392,0.9874,"x, y, z",12 d,1
12,E13,0.1111,0.2991,0.9628,"x, y, z",12 d,1
13,E14,0.0938,0.2644,0.0243,"x, y, z",12 d,1
14,E15,0.0767,0.9233,0.4748,"x, 1-x, z",6 c,m
15,E16,0.154,0.077,0.4748,"2y, y, z",6 c,m
16,E17,0.214,0.0689,0.4502,"x, y, z",12 d,1
17,E18,0.1792,0.0515,0.5117,"x, y, z",12 d,1
18,E19,0.0764,0.153,0.0858,"x, 2x, z",6 c,m
19,E20,0.0255,0.9746,0.1972,"x, 1-x, z",6 c,m
20,E21,0.0763,0.0001,0.1601,"x, y, z",12 d,1
21,E22,0.9746,0.0253,0.123,"x, 1-x, z",6 c,m
22,E23,0.6411,0.3589,0.2074,"2y, y, z",6 c,m
23,E24,0.5901,0.3333,0.1703,"x, y, z",12 d,1
24,E25,0.6922,0.3078,0.1331,"2y, y, z",6 c,m
