,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0676,0.5,0.5,"x, 1/2, 1/2",6 h,mm2
1,E2,0.0,0.5,0.4324,"0, 1/2, z",6 g,mm2
2,E3,0.0676,0.4431,0.3958,"x, y, z",24 l,1
3,E4,0.0676,0.2724,0.5,"x, y, 1/2",12 k,m
4,E5,0.0,0.2724,0.4324,"0, y, z",12 j,m
5,E6,0.0676,0.3293,0.3958,"x, y, z",24 l,1
6,E7,0.1108,0.2464,0.3874,"x, y, z",24 l,1
7,E8,0.0,0.3862,0.3593,"0, y, z",12 j,m
8,E9,0.103,0.3566,0.31,"x, y, z",24 l,1
9,E10,0.1109,0.1885,0.3014,"x, y, z",24 l,1
10,E11,0.1463,0.2736,0.3015,"x, y, z",24 l,1
11,E12,0.2074,0.1794,0.3347,"x, y, z",24 l,1
12,E13,0.0,0.1565,0.2604,"0, y, z",12 j,m
13,E14,0.0676,0.2065,0.2149,"x, y, z",24 l,1
14,E15,0.1185,0.1121,0.2585,"x, y, z",24 l,1
15,E16,0.0,0.2565,0.1695,"0, y, z",12 j,m
16,E17,0.103,0.2917,0.2151,"x, y, z",24 l,1
