,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,4,0.0427,0.2602,0.2234,"x, y, z",24 l,1,1
1,V2,4,0.0427,0.1904,0.2727,"x, y, z",24 l,1,1
2,V3,4,0.1159,0.1651,0.2366,"x, y, z",24 l,1,1
3,V4,4,0.1111,0.2304,0.1818,"x, y, z",24 l,1,1
4,V5,4,0.0895,0.3017,0.2816,"x, y, z",24 l,1,1
5,V6,4,0.1575,0.277,0.2362,"x, y, z",24 l,1,1
6,V7,4,0.0961,0.2295,0.3268,"x, y, z",24 l,1,1
7,V8,4,0.1689,0.2093,0.2869,"x, y, z",24 l,1,1
8,V9,4,0.0427,0.3383,0.3429,"x, y, z",24 l,1,1
9,V10,4,0.0427,0.2635,0.3841,"x, y, z",24 l,1,1
10,V11,4,0.0427,0.3076,0.4573,"x, y, z",24 l,1,1
11,V12,4,0.0427,0.3825,0.4161,"x, y, z",24 l,1,1
12,V13,4,0.0427,0.4573,0.4573,"x, y, z",24 l,1,1
