,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,4,8,12,16,21,28,37,48,60,73,308,4.4.4.6.4.16
1,V2,4,8,12,16,21,28,37,48,60,73,308,4.4.4.6.4.16
2,V3,4,8,12,16,21,28,37,48,60,72,307,4.4.4.6.4.16
3,V4,4,8,12,16,21,28,37,48,60,72,307,4.4.4.6.4.16
4,V5,4,8,12,16,21,28,37,49,63,76,315,4.4.4.6.4.18
5,V6,4,8,12,16,21,28,37,49,63,76,315,4.4.4.6.4.18
6,V7,4,8,12,16,21,28,37,49,63,76,315,4.4.4.6.4.18
7,V8,4,8,12,16,21,28,37,49,63,76,315,4.4.4.6.4.18
8,V9,4,8,12,16,21,28,37,49,64,79,319,4.4.4.6.4.18
9,V10,4,8,12,16,21,28,37,49,64,79,319,4.4.4.6.4.18
10,V11,4,8,12,16,21,28,37,49,64,80,320,4.4.4.6.4.18
11,V12,4,8,12,16,21,28,37,49,64,80,320,4.4.4.6.4.18
12,V13,4,8,12,16,21,28,37,49,64,80,320,4.4.4.6.4.18
