,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0,0.2602,0.2234,"0, y, z",12 j,m
1,E2,0.0427,0.2253,0.2481,"x, y, z",24 l,1
2,E3,0.0769,0.2453,0.2026,"x, y, z",24 l,1
3,E4,0.0661,0.281,0.2525,"x, y, z",24 l,1
4,E5,0.0,0.1904,0.2727,"0, y, z",12 j,m
5,E6,0.0793,0.1778,0.2546,"x, y, z",24 l,1
6,E7,0.0694,0.21,0.2997,"x, y, z",24 l,1
7,E8,0.1135,0.1978,0.2092,"x, y, z",24 l,1
8,E9,0.1488,0.1381,0.2335,"x, y, z",24 l,1
9,E10,0.1424,0.1872,0.2618,"x, y, z",24 l,1
10,E11,0.1343,0.2537,0.209,"x, y, z",24 l,1
11,E12,0.1235,0.2893,0.2589,"x, y, z",24 l,1
12,E13,0.0928,0.2656,0.3042,"x, y, z",24 l,1
13,E14,0.0661,0.32,0.3123,"x, y, z",24 l,1
14,E15,0.1632,0.2432,0.2616,"x, y, z",24 l,1
15,E16,0.1834,0.282,0.2026,"x, y, z",24 l,1
16,E17,0.1325,0.2194,0.3069,"x, y, z",24 l,1
17,E18,0.0694,0.2465,0.3554,"x, y, z",24 l,1
18,E19,0.0,0.3383,0.3429,"0, y, z",12 j,m
19,E20,0.0427,0.3009,0.3635,"x, y, z",24 l,1
20,E21,0.0427,0.3604,0.3795,"x, y, z",24 l,1
21,E22,0.0,0.2635,0.3841,"0, y, z",12 j,m
22,E23,0.0427,0.2855,0.4207,"x, y, z",24 l,1
23,E24,0.0427,0.3076,0.5,"x, y, 1/2",12 k,m
24,E25,0.0,0.3076,0.4573,"0, y, z",12 j,m
25,E26,0.0427,0.345,0.4367,"x, y, z",24 l,1
26,E27,0.0,0.3825,0.4161,"0, y, z",12 j,m
27,E28,0.0427,0.4199,0.4367,"x, y, z",24 l,1
28,E29,0.0427,0.4573,0.5,"x, y, /2",12 k,m
29,E30,0.0,0.4573,0.4573,"0, y, z",12 j,m
30,E31,0.0427,0.5,0.4573,"x, 1/2,z",12 k,m
