,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0,0.2276,0.2276,"0, y, y",48 h,mm2
1,E2,0.0317,0.25,0.25,"x, 1/4, 1/4",48 g,mm2
2,E3,0.05,0.2093,0.2459,"x, y, z",192 l,1
3,E4,0.0684,0.2134,0.2866,"x, y, 1/2-y",96 k,m
4,E5,0.0941,0.1778,0.2773,"x, y, z",192 l,1
5,E6,0.05,0.1726,0.2825,"x, y, z",192 l,1
6,E7,0.1423,0.1423,0.2904,"x, x, z",96 k,m
7,E8,0.1198,0.1871,0.3128,"x, x, z",96 k,m
8,E9,0.1015,0.1464,0.3088,"x, y, z",192 l,1
9,E10,0.0,0.1543,0.3008,"0, y, z",96 j,m
10,E11,0.0317,0.1767,0.3232,"x, y, 1/2-y",96 k,m
11,E12,0.0574,0.1412,0.314,"x, y, z",192 l,1
12,E13,0.1056,0.1056,0.3271,"x, x, z",96 k,m
13,E14,0.0832,0.1505,0.3495,"x, y, 1/2-y",96 k,m
