,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0,0.2088,0.25,"0, y, z",96 j,m
1,E2,0.0291,0.2294,0.2294,"x, y, y",96 k,m
2,E3,0.0291,0.2294,0.2706,"x, y, 1/2-y",96 k,m
3,E4,0.0459,0.192,0.2668,"x, y, z",192 l,1
4,E5,0.0627,0.1958,0.3042,"x, y, 1/2-y",96 k,m
5,E6,0.0863,0.1631,0.2957,"x, y, z",192 l,1
6,E7,0.0459,0.1584,0.3004,"x, y, z",192 l,1
7,E8,0.1305,0.1304,0.3078,"x, x, z",96 k,m
8,E9,0.1099,0.1716,0.3284,"x, y, 1/2-y",96 k,m
9,E10,0.0931,0.1342,0.3246,"x, y, z",192 l,1
10,E11,0.0,0.1416,0.3172,"0, y, z",96 l,m
11,E12,0.0291,0.1622,0.3378,"0, y, 1/2-y",96 k,m
12,E13,0.0527,0.1295,0.3293,"x, y, z",192 l,1
13,E14,0.0968,0.0968,0.3414,"x, x, z",96 k,m
14,E15,0.0763,0.138,0.362,"x, y, 1/2-y",96 k,m
