,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0,0.9634,0.0366,"0, y, 1-y",24 k,mm2
1,E2,0.0,0.0,0.125,"0, 0, z",12 e,4mm
2,E3,0.0,0.0366,0.2134,"0, y, z",48 j,m
3,E4,0.0366,0.0366,0.25,"x, x, z",48 k,m
4,E5,0.0,0.125,0.25,"0, y, z",48 j,m
5,E6,0.0,0.2134,0.2134,"0, y, y",24 h,mm2
6,E7,0.0366,0.2134,0.25,"x, y, z",96 l,1
7,E8,0.0,0.2134,0.2866,"0, y, z",48 j,m
8,E9,0.125,0.25,0.25,"x, y, y",48 k,m
9,E10,0.0366,0.2866,0.25,"x, y, z",96 l,1
10,E11,0.2134,0.2134,0.25,"x, x, z",48 k,m
11,E12,0.2134,0.2866,0.25,"x, 1/2-x, 1/4",48 i,2
12,E13,0.0,0.2866,0.2866,"0, y, y",24 h,mm2
13,E14,0.0,0.375,0.2502,"0, y, z",48 j,m
14,E15,0.0366,0.4634,0.25,"x, 1/2-x, 1/4",48 j,2
