,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.125,0.25,0.25,"x, y, y",48 k,m
1,E2,0.0366,0.2134,0.25,"x, y, z",96 l,1
2,E3,0.0366,0.2866,0.25,"x, y, z",96 l,1
3,E4,0.2134,0.2134,0.25,"x, x, z",48 k,m
4,E5,0.2134,0.2866,0.25,"x, 1/2-x, 1/4",48 i,2
5,E6,0.0366,0.0366,0.2502,"x, x, z",48 k,m
6,E7,0.0,0.125,0.2501,"0, y, z",48 j,m
7,E8,0.0,0.2134,0.2134,"0, y, y",24 h,mm2
8,E9,0.0,0.2134,0.2866,"0, y, z",48 j,m
9,E10,0.0366,0.0366,0.5,"x, x, 1/2",24 h,mm2
10,E11,0.0,0.125,0.5,"0, y, 1/2",24 g,mm2
11,E12,0.0,0.2134,0.4634,"0, y, z",48 j,m
12,E13,0.0366,0.2134,0.5,"x, y, 1/2",48 j,m
13,E14,0.0,0.2866,0.2866,"0, y, y",24 h,mm2
14,E15,0.0,0.375,0.25,"0, y, z",48 j,m
15,E16,0.0366,0.4634,0.25,"x, 1/2-x, 1/4",48 i,2
