,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,3,0.2513,0.1863,0.0878,"x, y, z",16 l,1,1
1,V2,3,0.2123,0.1485,0.2261,"x, y, z",16 l,1,1
2,V3,3,0.0783,0.3593,0.3301,"x, y, z",16 l,1,1
3,V4,3,0.1484,0.1548,0.3465,"x, y, z",16 l,1,1
4,V5,3,0.0732,0.4268,0.2175,"x, 1/2-x, z",8 k,m,2
5,V6,3,0.2002,0.0834,0.3421,"x, y, z",16 l,1,1
6,V7,3,0.0312,0.4688,0.0878,"x, 1/2-x, z",8 k,m,2
7,V8,4,0.0809,0.2009,0.4122,"x, y, z",16 l,1,1
8,V9,4,0.0546,0.2851,0.4122,"x, y, z",16 l,1,1
9,V10,4,0.2203,0.0052,0.4122,"x, y, z",16 l,1,1
