,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,3,5,7,12,24,38,48,56,68,88,350,4.12.16(4)
1,V2,3,4,9,15,19,30,48,61,68,85,343,3.12.16(5)
2,V3,3,5,10,15,20,27,43,64,73,91,352,3.8.16(5)
3,V4,3,5,10,15,20,27,43,65,71,86,346,3.8.12
4,V5,3,4,9,15,19,31,50,62,73,90,357,3.16(5).16(5)
5,V6,3,5,10,15,20,28,44,62,68,91,347,3.8.16(5)
6,V7,3,5,7,12,24,39,53,64,72,87,367,4.16(4).16(6)
7,V8,4,7,10,14,21,31,43,58,77,99,365,3.8.4.12.4.16(2)
8,V9,4,7,10,14,21,31,43,58,76,103,368,3.8.4.12.4.16(2)
9,V10,4,7,10,14,21,32,44,55,75,104,367,3.8.4.16(2).4.16(2)
