,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.2825,0.2175,0.0878,"x, 1/2-x, z",8 k,m
1,E2,0.2513,0.1863,0.0,"x, y, 0",8 i,m
2,E3,0.2318,0.1674,0.1569,"x, y, z",16 l,1
3,E4,0.1804,0.1516,0.2863,"x, y, z",16 l,1
4,E5,0.2063,0.116,0.2841,"x, y, z",16 l,1
5,E6,0.1095,0.3905,0.3301,"x, 1/2-x, z",8 k,m
6,E7,0.0757,0.3931,0.2738,"x, y, z",16 l,1
7,E8,0.0664,0.3222,0.3711,"x, y, z",16 l,1
8,E9,0.1743,0.1191,0.3443,"x, y, z",16 l,1
9,E10,0.1146,0.1779,0.3794,"x, y, z",16 l,1
10,E11,0.0522,0.4478,0.1527,"x, 1/2-x, z",8 k,m
11,E12,0.2102,0.0443,0.3771,"x, y, z",16 l,1
12,E13,0.0,0.5,0.0878,"0, 1/2, z",4 f,mm2
13,E14,0.0312,0.4688,0.0,"x, 1/2-x, 0",4 g,mm2
14,E15,0.0809,0.2009,0.5,"x, y, 1/2",8 j,m
15,E16,0.0677,0.243,0.4122,"x, y, z",16 l,1
16,E17,0.0379,0.2106,0.4122,"x, y, z",16 l,1
17,E18,0.0546,0.2851,0.5,"x, y, 1/2",8 j,m
18,E19,0.0247,0.2527,0.4122,"x, y, z",16 l,1
19,E20,0.2203,0.0052,0.5,"x, y, 1/2",8 j,m
