,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.1849,0.1849,0.03,"x, y, 0",16 l,m
1,E2,0.1043,0.1043,0.0,"x, x, 0",8 f,mm2
2,E3,0.2224,0.2224,0.0,"x, x, 0",8 f,mm2
3,E4,0.2192,0.2192,0.1198,"x, x, z",16 m,m
4,E5,0.0611,0.0,0.0,"x, 0, 0",8 i,mm2
5,E6,0.2141,0.2141,0.2834,"x, x, z",16 m,m
6,E7,0.2068,0.2932,0.25,"x, 1/2-x, 1/4",16 k,2
7,E8,0.1935,0.2367,0.2315,"x, y, z",32 o,1
8,E9,0.2274,0.2706,0.3019,"x, y, z",32 o,1
9,E10,0.116,0.258,0.3098,"x, y, z",32 o,1
10,E11,0.0,0.2586,0.3362,"0, y, z",16 n,m
11,E12,0.0305,0.2587,0.3881,"x, y, z",32 o,1
12,E13,0.0,0.2589,0.5,"0, y, 1/2",8 j,mm2
