,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.3545,0.6455,0.25,"x, 1-x, 1/4",6 h,mm2
1,E2,0.2544,0.5088,0.25,"x, 2x, 1/4",6 h,mm2
2,E3,0.2198,0.4396,0.059,"x, 2x, z",12 k,m
3,E4,0.1758,0.415,0.0903,"x, y, z",24 l,1
4,E5,0.1079,0.453,0.041,"x, y, z",24 l,1
5,E6,0.1809,0.3619,0.1577,"x, 2x, z",12 k,m
6,E7,0.9789,0.0212,0.25,"x, 1-x, 1/4",6 h,mm2
7,E8,0.0789,0.1578,0.25,"x, 2x, 1/4",6 h,mm2
8,E9,0.0594,0.5297,0.023,"2y, y, z",12 k,m
9,E10,0.0,0.4366,0.0,"0, y, 0",12 i,2
10,E11,0.1411,0.2822,0.2219,"x, 2x, z",12 k,m
11,E12,0.1922,0.3845,0.2219,"x, 2x, z",12 k,m
