,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,5,0.5705,0.25,0.4387,"x, 1/4, z",4 f,m,2
1,V2,5,0.682,0.1483,0.1128,"x, y, z",8 g,1,1
2,V3,5,0.182,0.6483,0.4979,"x, y, z",8 g,1,1
3,V4,5,0.5711,0.1483,0.2435,"x, y, z",8 g,1,1
4,V5,5,0.682,0.0455,0.3075,"x, y, z",8 g,1,1
5,V6,3,0.1243,0.5808,0.0772,"x, y, z",8 g,1,1
6,V7,3,0.0354,0.0285,0.1976,"x, y, z",8 g,1,1
7,V8,3,0.1462,0.1483,0.658,"x, y, z",8 g,1,1
8,V9,3,0.1277,0.5873,0.3025,"x, y, z",8 g,1,1
9,V10,3,0.046,0.25,0.5551,"x, 1/4, z",4 f,m,2
