,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,5,12,21,31,50,83,123,157,183,218,884,3.3.4.4.8.8.8.8.8.8
1,V2,5,13,22,33,54,89,129,156,184,220,906,3.4.4.4.6.8.8.8.8.12
2,V3,5,13,22,32,48,79,127,162,182,222,893,3.4.4.4.6.8.8.8.8.8
3,V4,5,12,21,32,54,89,122,154,178,214,882,3.3.4.4.8.8.8.8.8.12
4,V5,5,13,22,33,53,85,123,156,183,224,898,3.4.4.4.6.8.8.8.8.12
5,V6,3,6,19,38,51,72,95,147,204,241,877,3.8.8(2)
6,V7,3,6,18,38,51,71,96,142,201,246,873,3.8.8(2)
7,V8,3,6,19,38,51,71,95,142,199,243,868,3.8.8(2)
8,V9,3,6,19,37,50,70,92,149,210,238,875,3.8(2).8(2)
9,V10,3,6,18,37,50,71,94,139,199,244,862,3.8(2).8(2)
