,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.6262,0.3009,0.4704,"x, y, z",8 g,1
1,E2,0.5708,0.1991,0.3411,"x, y, z",8 g,1
2,E3,0.5123,0.25,0.4969,"x, 1/4, z",4 f,m
3,E4,0.75,0.1483,0.1128,"3/4, y, z",4 e,m
4,E5,0.682,0.25,0.1128,"x, 1/4, z",4 f,m
5,E6,0.6265,0.1483,0.1781,"x, y, z",8 g,1
6,E7,0.682,0.0969,0.2101,"x, y, z",8 g,1
7,E8,0.6531,0.1146,0.0178,"x, y, z",8 g,1
8,E9,0.25,0.6483,0.4979,"1/4, y, z",4 e,m
9,E10,0.182,0.75,0.4979,"x, 3/4, z",4 f,m
10,E11,0.182,0.5969,0.5952,"x, y, z",8 g,1
11,E12,0.1549,0.6178,0.4002,"x, y, z",8 g,1
12,E13,0.5711,0.25,0.2435,"x, 1/4, x",4 f,m
13,E14,0.6265,0.0969,0.2755,"x, y, z",8 g,1
14,E15,0.5179,0.0884,0.2205,"x, y, z",8 g,1
15,E16,0.75,0.0455,0.3075,"3/4, y, z",4 e,m
16,E17,0.6641,0.9486,0.3248,"x, y, z",8 g,1
17,E18,0.0798,0.5261,0.1374,"x, y, z",8 g,1
18,E19,0.126,0.5841,0.1899,"x, y, z",8 g,1
19,E20,0.0816,0.9706,0.2501,"x, y, z",8 g,1
20,E21,0.1462,0.25,0.658,"x, 1/4, z",4 f,m
21,E22,0.0961,0.1991,0.6065,"x, y, z",8 g,1
