,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.25,0.0,0.2632,"1/4, 0, z",4 c,2
1,E2,0.2527,0.1204,0.3978,"x, y, z",8 e,1
2,E3,0.1275,0.955,0.3978,"x, y, z",8 e,1
3,E4,0.0027,0.1204,0.3655,"x, y, z",8 e,1
4,E5,0.0052,0.9983,0.253,"x, y, z",8 e,1
5,E6,0.125,0.0771,0.5102,"x, y, z",8 e,1
6,E7,0.125,0.0771,0.0102,"x, y, z",8 e,1
7,E8,0.3753,0.25,0.75,"x, 1/, 3/4",4 d,2
8,E9,0.4976,0.1221,0.3875,"x, y, z",8 e,1
9,E10,0.3777,0.0433,0.6448,"x, y, z",8 e,1
10,E11,0.2476,0.1221,0.6448,"x, y, z",8 e,1
11,E12,0.75,0.0,0.2427,"3/4, 0, z",4 c,2
