,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.3946,0.0449,0.99,"x, y, z",18 f,1
1,E2,0.9705,0.3047,0.0962,"x, y, z",18 f,1
2,E3,0.198,0.365,0.1931,"x, y, z",18 f,1
3,E4,0.0464,0.3335,0.2896,"x, y, z",18 f,1
4,E5,0.0427,0.3052,0.2345,"x, y, z",18 f,1
5,E6,0.0957,0.302,0.4393,"x, y, z",18 f,1
6,E7,0.0153,0.3346,0.0625,"x, y, z",18 f,1
7,E8,0.4641,0.0286,0.0209,"x, y, z",18 f,1
8,E9,0.1226,0.3048,0.2741,"x, y, z",18 f,1
9,E10,0.2645,0.3667,0.0324,"x, y, z",18 f,1
10,E11,0.3931,0.9981,0.1566,"x, y, z",18 f,1
11,E12,0.0159,0.3032,0.4295,"x, y, z",18 f,1
12,E13,0.0173,0.35,0.2629,"x, y, z",18 f,1
