,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.1204,0.0686,0.39,"x, y, z",8 f,1
1,E2,0.3504,0.3137,0.0474,"x, y, z",8 f,1
2,E3,0.1259,0.3245,0.3285,"x, y, z",8 f,1
3,E4,0.1207,0.2736,0.0101,"x, y, z",8 f,1
4,E5,0.0889,0.2588,0.1336,"x, y, z",8 f,1
5,E6,0.3449,0.0696,0.1088,"x, y, z",8 f,1
6,E7,0.25,0.25,0.0,"1/4, 1/4, 0",4c,-1
7,E8,0.9711,0.0874,0.0574,"x, y, z",8 f,1
8,E9,0.1093,0.24,0.2656,"x, y, z",8 f,1
9,E10,0.2004,0.1749,0.0553,"x, y, z",8 f,1
10,E11,0.2293,0.0875,0.9979,"x, y, z",8 f,1
11,E12,0.1234,0.4034,0.2647,"x, y, z",8 f,1
12,E13,0.1,0.1112,0.0079,"x, y, z",8 f,1
