,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.1232,0.3421,0.2497,"x, y, z",8 f,1
1,E2,0.2165,0.5837,0.1405,"x, y, z",8 f,1
2,E3,0.25,0.75,0.25,"1/4, 3/4, 1/4",4 c,-1
3,E4,0.25,0.1957,0.5,"1/4, y, 1/2",4 e,2
4,E5,0.25,0.679,0.0,"1/4, y, 0",4 e,2
5,E6,0.0296,0.0921,0.3598,"x, y, z",8 f,1
6,E7,0.1271,0.5837,0.9994,"x, y, z",8 f,1
7,E8,0.2796,0.1037,0.3598,"x, y, z",8 f,1
8,E9,0.0,0.5,0.0,"0, 1/2, 0",4 b,-1
9,E10,0.1567,0.0084,0.3592,"x, y, z",8 f,1
10,E11,0.9665,0.4047,0.1405,"x, y, z",8 f,1
11,E12,0.1232,0.1037,0.4997,"x, y, z",8 f,1
