,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0299,0.4753,0.188,"x, y, z",4 g,1
1,E2,0.0,0.6976,0.25,"0, y, 1/4",2 e,2
2,E3,0.0,0.3722,0.25,"0, y, 1/4",2 e,2
3,E4,0.0867,0.2663,0.0693,"x, y, z",4 g,1
4,E5,0.9053,0.1031,0.948,"x, y, z",4 g,1
5,E6,0.2083,0.0573,0.0646,"x, y, z",4 g,1
6,E7,0.0568,0.1719,0.8813,"x, y, z",4 g,1
7,E8,0.9621,0.0917,0.0792,"x, y, z",4 g,1
8,E9,0.1515,0.0687,0.9333,"x, y, z",4 g,1
9,E10,0.1515,0.1146,0.6833,"x, y, z",4 g,1
10,E11,0.2462,0.0344,0.4853,"x, y, z",4 g,1
11,E12,0.5568,0.0114,0.6313,"x, y, z",4 g,1
12,E13,0.0568,0.0114,0.6313,"x, y, z",4 g,1
13,E14,0.2462,0.0114,0.7354,"x, y, z",4 g,1
14,E15,0.9053,0.0802,0.698,"x, y, z",4 g,1
15,E16,0.0,0.0229,0.25,"0, y, 1/4",2 e,2
