,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.9259,0.5227,0.3022,"x, y, z",4 a,1
1,E2,0.5533,0.3556,0.0087,"x, y, z",4 a,1
2,E3,0.4217,0.5195,0.9928,"x, y, z",4 a,1
3,E4,0.4787,0.3244,0.1337,"x, y, z",4 a,1
4,E5,0.9295,0.4805,0.1407,"x, y, z",4 a,1
5,E6,0.5312,0.4254,0.1423,"x, y, z",4 a,1
6,E7,0.4514,0.3479,0.9339,"x, y, z",4 a,1
7,E8,0.503,0.171,0.4653,"x, y, z",4 a,1
8,E9,0.4587,0.2808,0.2856,"x, y, z",4 a,1
9,E10,0.5003,0.1406,0.988,"x, y, z",4 a,1
10,E11,0.4489,0.496,0.1926,"x, y, z",4 a,1
11,E12,0.448,0.7116,0.1223,"x, y, z",4 a,1
12,E13,0.5272,0.4765,0.3176,"x, y, z",4 a,1
