,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.3021,0.6042,0.0763,"x, 2x, z",12 o,m
1,E2,0.3645,0.6355,0.1526,"x, 1-x, z",12 o,m
2,E3,0.5582,0.7791,0.1239,"2y, y, z",12 o,m
3,E4,0.527,0.7159,0.203,"x, y, z",24 r,1
4,E5,0.1898,0.0949,0.0,"2y, y, 0",6 l,mm2
5,E6,0.2658,0.1804,0.0476,"x, y, z",24 r,1
6,E7,0.1708,0.3416,0.0,"x, 2x, 0",6 l,mm2
7,E8,0.139,0.373,0.1744,"x, y, z",24 r,1
8,E9,0.0,0.8322,0.5,"0, y, 1/2",6 k,mm2
9,E10,0.2101,0.9441,0.4542,"x, y, z",24 r,1
10,E11,0.3083,0.0,0.5,"x, 0, 1/2",6 k,mm2
11,E12,0.3028,0.9465,0.331,"x, y, z",24 r,1
12,E13,0.4042,0.0,0.3767,"x, 0, z",12 n,m
13,E14,0.0,0.3508,0.2535,"0, y, z",12 n,m
14,E15,0.2022,0.4044,0.2535,"x, 2x, z",12 o,m
15,E16,0.0535,0.4521,0.2992,"x, y, z",24 r,1
