,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0,0.25,0.3256,"0, 1/4, z",8 e,mm2
1,E2,0.9662,0.2837,0.375,"x, 1/4-x, 3/8",16 g,2
2,E3,0.0,0.3644,0.2754,"0, y, z",16 h,m
3,E4,0.0,0.0305,0.19,"0, y, z",16 h,m
4,E5,0.0,0.089,0.1553,"0, y, z",16 h,m
5,E6,0.0,0.5955,0.1543,"0, y, z",16 h,m
6,E7,0.0,0.4693,0.1202,"0, y, z",16 h,m
7,E8,0.0435,0.7065,0.125,"x, 3/4-x, 1/8",16 g,2
8,E9,0.0,0.6727,0.0846,"0, y, z",16 h,m
9,E10,0.0338,0.7065,0.1941,"x, y, z",32 i,1
10,E11,0.0,0.75,0.0156,"0, 3/4, z",8 e,mm2
11,E12,0.0,0.6359,0.965,"0, y, z",16 k,m
