,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0,0.3852,0.1926,"0, y, z",4 a,m
1,E2,0.0,0.4385,0.1854,"0, y, z",4 a,m
2,E3,0.0,0.4163,0.3222,"0, y, z",4 a,m
3,E4,0.0,0.3049,0.105,"0, y, z",4 a,m
4,E5,0.0,0.4072,0.1273,"0, y, z",4 a,m
5,E6,0.0,0.1712,0.0246,"0, y, z",4 a,m
6,E7,0.0653,0.2136,0.05,"x, y, z",8 b,1
7,E8,0.25,0.1515,0.0123,"x, y, z",8 b,1
8,E9,0.0,0.5006,0.0724,"0, y, z",4 a,m
9,E10,0.0653,0.3923,0.4469,"x, y, z",8 b,1
10,E11,0.0,0.4378,0.4592,"0, y, z",4 a,m
11,E12,0.5,0.1317,0.0,"0, y, z",4 a,m
12,E13,0.4347,0.0862,0.0123,"x, y, z",8 b,1
