,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0,0.2105,0.2105,"0, y, y",12 1,mm2
1,E2,0.0312,0.2045,0.2928,"x, y, z",48 n,1
2,E3,0.0,0.1273,0.3033,"0, y, z",24 k,m
3,E4,0.0312,0.296,0.3402,"x, y, z",48 n,1
4,E5,0.0,0.3934,0.3934,"0, y, y",12 i,mm2
5,E6,0.0,0.2427,0.331,"0, y, z",24 k,m
6,E7,0.0624,0.2869,0.2869,"x, y, y",24 m,m
7,E8,0.0848,0.2191,0.3843,"x, y, z",48 n,1
8,E9,0.1072,0.1955,0.5,"x, y, 1/2",24 l,m
9,E10,0.1513,0.1513,0.4376,"x, x, z",24 m,m
10,E11,0.0,0.5,0.4376,"0, 1/2, z",12 h,mm2
11,E12,0.0441,0.0441,0.3521,"x, x, z",24 m,m
